Single,Average,Attempt1,Attempt2,Attempt3,Attempt4,Attempt5
8.84,10.65,10.22,11.57,10.49,11.23,8.84
10.40,11.43,10.82,10.40,11.38,12.71,12.08
9.57,10.68,11.34,10.74,9.57,10.23,11.06
9.88,11.09,13.91,11.42,10.74,11.10,9.88
9.33,10.11,9.33,10.45,10.36,10.61,9.51
10.22,10.89,10.22,11.22,10.79,10.67,11.95
9.04,10.77,11.41,10.66,9.04,10.25,11.53
11.42,12.82,12.21,13.93,12.52,11.42,13.73
9.76,11.10,10.94,9.76,10.97,11.40,11.95
9.38,11.31,13.90,10.93,9.99,9.38,13.00
10.55,11.98,11.29,13.33,10.55,13.76,11.32
10.67,11.87,12.28,10.67,11.20,12.96,12.12
10.51,12.25,15.24,11.92,10.51,10.83,14.00
9.74,11.33,11.45,10.22,12.31,9.74,12.34
9.65,11.27,11.79,16.95,10.99,11.04,9.65
10.11,11.10,10.11,11.52,12.30,10.67,11.10
10.27,10.67,10.27,10.46,10.96,10.60,11.96
11.99,13.37,12.94,14.02,13.94,13.23,11.99
11.00,11.99,11.00,11.98,13.38,11.28,12.71
11.13,12.49,13.82,11.13,11.89,12.66,12.91
10.81,12.82,14.53,11.01,15.87,10.81,12.91
11.14,13.28,11.14,13.15,13.06,16.44,13.63
11.14,12.23,11.14,12.27,11.60,12.83,16.00
10.99,12.97,13.51,10.99,12.89,12.51,14.22
22.29,24.38,22.29,24.66,24.13,27.45,24.36
